asset,alpha,beta,lambda,mean_return,volatility,kurtosis,skew,VaR_95,CVaR_95,vol_cluster,GBM_mean,GBM_vol,GBM_kurtosis,GBM_skew,GBM_VaR,GBM_CVaR,GBM_vol_cluster
SPY,0.1,-0.13749999999999998,0.2,0.005506329937720409,0.203425749174294,0.029892440996146075,0.007567309684028029,-0.32951985621559177,-0.41384567205674366,-0.000762940176973259,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.25,0.005740861872417488,0.2045997213153935,-0.012455118147161492,-0.007156473462210211,-0.33085386873476536,-0.4163229458488371,0.0024690871396738745,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.3,0.005497336803728506,0.2045627381017541,0.022486125948646407,-0.011565894886214496,-0.33173925486692757,-0.4183970753478794,-0.0045068240203239365,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.35,0.005581489871351774,0.20445480998853358,0.02250425748375484,-0.0002525484269593399,-0.33204225699143874,-0.4165663596479316,0.0016135968691204374,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.39999999999999997,0.004459889377969319,0.20587361828118161,-0.01647445975862638,0.01437787804845631,-0.3333785903478312,-0.417967485066394,-4.576537176607269e-05,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.44999999999999996,0.004516980589614202,0.2065547886196962,-0.0002886255094942669,-0.008531780909902562,-0.33511337267537467,-0.4231972013123648,-0.0037741493903689187,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.49999999999999994,0.0049620390578226726,0.20645864033039074,-0.0050332599591706995,0.01545349544012979,-0.33224203016037773,-0.4188837963308408,-0.0019108303624705385,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.5499999999999999,0.0048069161955681845,0.2074528103725002,0.014146343198099487,-0.004540907630257667,-0.3358074018887239,-0.4252569022569297,-0.007899163556579972,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.6,0.004560055593197553,0.2086828430943608,0.03302754926502738,-0.004437025686636148,-0.33822292002569354,-0.4272738340504451,-0.00041458289878797556,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.13749999999999998,0.65,0.003841898461668261,0.20821958640727936,-0.03497039112411482,0.003848755048819624,-0.3374837000833099,-0.42427880679683866,-0.0028176851486930244,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
